ZONA;SEXE;ANY;MES;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
43150;1;1984;J;45,26621529;59,67530994;61,42750107;52,1011993;51,88574805;51,503047;53,04132652;62,16491954;59,16320922;43,50390947;53,36119618;68,31960733;79,03764551;63,40918212;49,59800118;39,17522955;17,17199222;13,88584648
43150;1;1985;J;43,88416819;53,40677869;64,09967637;50,07797513;53,99133301;48,6390305;52,96490722;58,01972031;61,61541322;42,54469922;49,18221942;64,76620712;79,47126483;64,4239364;50,29229086;37,33059106;15,8623383;15,28190938
43150;1;1986;J;44,26143932;48,48974207;66,1288206;50,09625059;55,59367619;46,32117954;52,27503816;55,60102079;62,02253907;43,44717481;47,5465052;60,25428668;77,46898118;67,81633228;51,31464393;35,74875807;14,39091392;16,37705313
43150;1;1987;J;43,97743597;49,72195334;64,09893875;53,39460794;55,07878099;48,5811036;50,95542705;54,28554515;63,94764775;43,61810137;49,48766091;55,95185952;73,43628946;70,85179387;53,34465722;35,67365295;15,63225211;16,93203525
43150;1;1988;J;42,84054914;49,77122435;62,78558424;56,33394488;54,63490523;49,33279618;50,95066307;52,15012804;65,49635208;46,83478646;48,21067585;52,52743556;69,24623787;73,79305246;54,15046429;36,21608219;17,15309498;16,77916113
43150;1;1989;J;41,83020827;50,36493161;61,67646394;59,25644893;53,30440962;50,44545282;49,82511903;51,0527216;65,33682088;53,19207618;44,30857097;49,82069345;65,43645875;75,33608389;54,74284895;37,90306038;19,00631867;14,75207642
43150;1;1990;J;41,22448189;51,4309322;59,24098606;63,10009445;50,62262138;53,70260742;46,70972181;51,66312641;62,58578239;57,9083527;42,92339261;46,82730482;62,39989146;74,49053913;57,16966488;38,64264598;20,05627904;13,00769066
43150;1;1991;J;40,4103747;51,22804216;56,06646056;64,86298489;50,27265068;56,00671135;45,38127791;50,63782794;59,77667962;60,11579921;43,41104528;45,56644338;59,00130974;71,87710441;61,41608698;40,09985975;20,80397506;12,23774728
43150;1;1992;J;39,19090717;47,35723867;54,52441079;62,38809583;52,70426642;55,18474014;48,21510166;49,42453755;56,73670116;61,68198955;43,35452182;47,00394784;55,72636408;69,56300087;62,89707127;42,96507714;21,97404759;13,41629413
43150;1;1993;J;38,63530381;43,58119724;52,12354806;62,05549428;54,4270268;53,48157691;50,88622983;49,37853527;53,74467282;61,87748431;46,47989958;46,10284146;53,0010969;66,64414947;65,0676687;45,27573633;23,04632287;15,30066582
43150;1;1994;J;38,05605352;41,08783136;48,99704499;61,36268478;55,90248446;50,80367464;53,90135615;48,18818481;51,57223341;60,87496874;52,54839833;41,78053535;51,00458374;64,23516438;65,32054446;47,30154278;25,03009048;16,18541851
43150;1;1995;J;37,77326874;39,27074189;46,40156881;58,49184357;58,4466355;48,05169847;57,76510391;45,63253702;50,38399894;57,91032591;56,37402665;40,0881455;48,67457584;62,30672704;62,75850434;50,7545582;27,28542979;16,35580452
43150;1;1996;J;37,68498959;37,44203444;45,09273393;54,97947663;61,77873688;46,74816352;61,11679308;43,40436414;49,31567069;55,35910371;58,22754901;41,10036947;47,48235214;59,24678262;59,97696086;55,46619588;29,83096802;17,12033909
43150;1;1997;J;36,85942199;36,88656931;43,94647506;52,82610114;61,69071525;50,20994672;60,81154335;46,75000406;51,10224977;51,63499658;61,16358487;42,08657406;50,19190785;55,88923662;59,10859491;56,00341055;32,74992836;18,13328577
43150;1;1998;J;36,02089856;36,23223835;42,36775885;50,11182083;62,58785207;53,01550883;59,27830537;49,62097481;54,41347037;48,25238478;62,97684722;46,31753101;49,70173954;52,71017125;57,70252749;56,78654935;34,27830941;19,06609859
43150;1;1999;J;34,83996338;35,70218017;40,61763281;47,24338019;63,26386795;55,27786106;56,37794989;52,36993393;57,14165077;45,32186056;63,12957381;52,94967168;45,77857871;51,27299515;56,81909415;56,30723661;36,36768037;20,49624742
43150;1;2000;J;34,38784649;35,85000686;39,91449934;44,29068336;61,5575417;58,76798563;54,3360973;56,57413487;58,05366956;44,0136907;60,63555626;57,7345653;44,64543483;49,52639189;56,19614079;53,87598844;40,15427243;22,14414148
43150;1;2001;J;35,59496842;37,05150536;39,4457888;42,53467076;59,15430625;64,15468024;53,5987295;61,2257931;58,08549834;42,05042978;58,97491509;60,84626178;46,32163477;47,8676065;55,56816496;49,55214342;46,30665261;22,73551799
43150;1;2002;J;33,68962967;36,17219708;39,48807958;43,21108756;56,30895353;64,15073988;55,32014344;62,31717735;58,33922879;44,43351076;56,33070489;63,81541253;47,37524774;49,14772765;53,61725463;45,15650372;49,09965315;25,73131523
43150;1;2003;J;29,90686404;32,95200526;41,28749878;44,48854759;52,83989428;61,15162603;57,58168937;60,78701392;59,12577528;50,50713429;52,3034661;64,87783248;50,94959644;49,2092442;52,13688358;42,36721673;47,19733832;29,53990908
43150;1;2004;J;26,42000524;29,78788992;42,17034101;44,85413004;51,12967055;61,03846611;60,53757862;56,64394148;60,36145381;55,37447984;47,92945932;64,9142298;56,07543895;46,88643463;50,04195442;41,643277;44,30822628;30,76281583
43150;1;2005;J;23,81973452;30,57113848;40,61089636;45,29006854;50,78665533;61,17110868;64,97233728;55,06641633;63,57352573;56,7218845;47,03869048;63,54316029;58,17125239;46,60174292;45,87185047;43,92174525;41,7710618;28,53604657
43150;1;2006;J;19,30816253;33,30689058;37,53028216;42,72990655;51,3117681;61,81746357;66,94359843;54,5027237;68,26249247;61,59596112;49,58917287;61,44580698;58,04996628;46,92556863;45,04772318;46,64880234;38,89402764;26,32618333
43150;1;2007;J;16,67481158;34,33148827;35,5506004;43,89442561;53,08764511;64,12450842;70,44745165;58,82527491;68,17809924;69,4279661;50,40474935;58,60810811;62,25127235;48,38481203;46,23608442;49,06548987;36,26862808;27,49353991
43150;1;2008;J;20,71230864;32,97456645;35,4082402;47,02267368;57,66775378;60,80545494;73,04296558;64,93451834;65,03152723;68,13534489;55,18402523;52,1221789;66,82073094;53,9512656;44,96277762;47,76396104;35,34831149;32,0889449
43150;1;2009;J;28,46874712;32,63645871;35,16779363;43,96611262;61,67666367;56,32363699;69,1110893;66,96477176;59,33140052;65,805545;61,29965243;46,55057768;64,91059366;58,01679144;43,09602446;45,22747253;34,83442194;35,64301671
43150;1;2010;J;32,73481023;34,81333383;33,87664999;41,42397695;57,01716907;53,70964445;68,82757679;67,91924031;54,58734164;69,90132015;63,58254232;46,60449342;59,87959134;58,29246565;42,7688331;42,32458673;34,87714468;37,90768402
43150;1;2011;J;32,19248424;34,61342788;34,05199581;37,95933468;46,65646087;51,36805523;74,46536381;66,31066827;56,33871308;74,92669741;64,8479226;45,6689323;57,29828892;56,19769922;43,75446852;39,32481292;37,16633935;40,5154706
43150;2;1981;J;71,7953466;66,18813345;52,287631;54,94524158;53,33655688;54,38938641;54,95782007;55,59516682;44,4968514;48,02487102;66,86574397;68,80233515;72,94777518;61,70622839;53,64705676;48,35635457;30,85402067;24,73189681
43150;2;1982;J;63,7084029;68,02008592;53,88022851;53,81677398;55,40187306;52,256848;52,60431826;56,87903429;41,06006896;48,95827844;63,80807033;69,42939107;72,06968116;61,56211683;54,95704693;47,59598237;32,9339304;24,24650561
43150;2;1983;J;55,23388588;70,11977933;55,48549963;52,16244808;55,06015692;51,22161607;50,58360485;57,82542183;41,1632973;48,71674392;58,88748871;69,9719677;69,8415033;63,75658753;54,89096082;46,7849187;34,41501489;23,34475524
43150;2;1984;J;47,5290019;71,92222545;57,33296151;50,04081687;54,65653328;49,74499391;49,49712114;57,62273798;45,21922125;45,44500116;54,2435184;70,3439135;67,60714106;66,14543807;56,21672157;45,01375626;36,32414041;22,08394951
43150;2;1985;J;43,10918284;72,24343581;59,19390828;48,16051341;54,77861542;48,32541965;49,01661203;56,0393739;47,78942088;42,40554708;51,44492025;69,01958446;65,35422716;68,85376292;56,31278838;43,17491973;37,64371689;20,41826969
43150;2;1986;J;40,60069789;69,88360661;61,97885516;48,02556685;53,17498331;48,41319285;48,35150073;53,98542953;49,0256364;41,02611086;49,49789512;67,73181373;62,65692295;73,92031585;55,41389307;43,32369448;36,5859894;20,14607752
43150;2;1987;J;39,03612064;63,35618789;63,90159708;50,3952907;49,74747674;50,60060356;48,46515001;53,41113577;50,64460118;38,72056087;48,55191559;65,134733;62,76865854;74,49420139;56,7679097;44,90762556;35,12790987;23,05942041
43150;2;1988;J;38,52666204;55,07667706;66,90386996;51,9870047;46,86461811;50,61851378;48,29332554;53,31434262;52,30167169;39,94640403;46,80938274;60,59265203;63,97586322;73,13015186;60,78422577;44,54932235;35,95313287;25,66342146
